CODIGO;DESCRICAO;MARCA;LINHA;EMBAL;
7791293022567;DES AERO REXONA 150ML MEN V8;REXONA;HIGIENE E BELEZA;12;
7791293022581;DES AERO REXONA 150ML MEN XTRACOOL;REXONA;HIGIENE E BELEZA;12;
7891150081260;DES AERO REXONA 250ML FEM COTTON DRY;REXONA;HIGIENE E BELEZA;12;
7891150081253;DES AERO REXONA 250ML FEM POWDER DRY;REXONA;HIGIENE E BELEZA;12;
7891150081307;DES AERO REXONA 250ML MEN ACTIVE DRY;REXONA;HIGIENE E BELEZA;12;
7891150081314;DES AERO REXONA 250ML MEN V8;REXONA;HIGIENE E BELEZA;12;
7791293051550;DES AERO REXONA ALL BODY DEO 150ML FEM FRESH CITRUS;REXONA;HIGIENE E BELEZA;12;
7791293051543;DES AERO REXONA ALL BODY DEO 150ML FEM WILD ROSE;REXONA;HIGIENE E BELEZA;12;
7791293051581;DES AERO REXONA ALL BODY DEO 150ML MEN ACTIVE FRESH;REXONA;HIGIENE E BELEZA;12;
7791293051598;DES AERO REXONA ALL BODY DEO 150ML MEN BOLD SPIRIT;REXONA;HIGIENE E BELEZA;12;
